        date_obs         |       bjd        |        rv        |       err_rv        | start_time | end_time |  object  
 2005-09-02T09:05:52.076 | 2453615.88129661 | 23.1535254032109 |   0.317700411294288 |      0.036 |    0.037 | Beta-Hyi
 2005-09-02T09:07:13.914 | 2453615.88224566 | 23.1541481712872 |   0.324670511615497 |      0.035 |    0.035 | Beta-Hyi
 2005-09-02T09:08:34.462 | 2453615.88315998 | 23.1540164904915 |   0.308339023845714 |      0.036 |    0.037 | Beta-Hyi
 2005-09-02T09:09:55.350 | 2453615.88408589 | 23.1531745243947 |   0.302283072021825 |      0.038 |    0.039 | Beta-Hyi
 2005-09-02T09:11:16.287 | 2453615.88503493 |  23.153790934774 |   0.317084425862387 |      0.036 |    0.039 | Beta-Hyi
 2005-09-02T09:12:36.765 | 2453615.88597241 | 23.1526949254825 |   0.289669438211359 |      0.036 |    0.039 | Beta-Hyi
 2005-09-02T09:13:57.423 | 2453615.88689831 |  23.152623926969 |   0.305297000459792 |      0.037 |    0.037 | Beta-Hyi
 2005-09-02T04:30:20.940 | 2453615.68997072 | 23.1505623294966 |   0.308623419724024 |      0.037 |    0.036 | Beta-Hyi
 2005-09-02T04:31:41.398 | 2453615.69089662 | 23.1504854766017 |   0.290953044656274 |       0.04 |    0.039 | Beta-Hyi
 2005-09-02T04:33:03.216 | 2453615.69184567 | 23.1505985662196 |   0.266512593706729 |      0.038 |    0.036 | Beta-Hyi
 2005-09-02T04:34:24.354 | 2453615.69277157 | 23.1515039936458 |   0.255731777328491 |      0.037 |    0.039 | Beta-Hyi
 2005-09-02T04:35:45.602 | 2453615.69373219 | 23.1541865826967 |   0.269087627256911 |      0.035 |    0.035 | Beta-Hyi
 2005-09-02T04:37:08.150 | 2453615.69463495 | 23.1541513029381 |   0.289228196380226 |      0.037 |    0.035 | Beta-Hyi
 2005-09-02T04:38:28.387 | 2453615.69558399 |  23.154824937596 |   0.261126306238203 |      0.037 |    0.038 | Beta-Hyi
 2005-09-02T04:39:49.495 | 2453615.69654462 | 23.1542915066044 |   0.284909834473795 |      0.035 |    0.038 | Beta-Hyi
 2005-09-02T04:42:31.201 | 2453615.69839642 | 23.1547998312195 |   0.334299979123139 |      0.038 |    0.037 | Beta-Hyi
 2005-09-02T04:43:52.049 | 2453615.69933389 | 23.1530337962783 |   0.290217718119993 |      0.039 |    0.037 | Beta-Hyi
